Sample_ID	n	chr21	nrevents	chr21status
1	11	0	0	0	no_chr21amp
2	13	0	0	0	no_chr21amp
3	15	0	0	0	no_chr21amp
4	33	0	0	0	no_chr21amp
5	36	0	0	0	no_chr21amp
6	47	0	0	0	no_chr21amp
7	50	0	0	0	no_chr21amp
8	64	0	0	0	no_chr21amp
9	69	0	0	0	no_chr21amp
10	86	0	0	0	no_chr21amp
11	1	2	0	2	no_chr21amp
12	2	1	0	1	no_chr21amp
13	5	4	0	4	no_chr21amp
14	6	1	0	1	no_chr21amp
15	7	1	0	1	no_chr21amp
16	8	16	0	16	no_chr21amp
17	10	1	0	1	no_chr21amp
18	12	1	0	1	no_chr21amp
19	18	5	0	5	no_chr21amp
20	19	1	0	1	no_chr21amp
21	21	1	0	1	no_chr21amp
22	22	8	0	8	no_chr21amp
23	25	2	0	2	no_chr21amp
24	26	2	0	2	no_chr21amp
25	28	6	0	6	no_chr21amp
26	29	1	0	1	no_chr21amp
27	30	14	0	14	no_chr21amp
28	35	1	0	1	no_chr21amp
29	38	1	0	1	no_chr21amp
30	41	2	0	2	no_chr21amp
31	42	1	0	1	no_chr21amp
32	43	2	0	2	no_chr21amp
33	45	1	0	1	no_chr21amp
34	48	1	0	1	no_chr21amp
35	49	1	0	1	no_chr21amp
36	52	7	0	7	no_chr21amp
37	53	1	0	1	no_chr21amp
38	56	3	0	3	no_chr21amp
39	61	4	0	4	no_chr21amp
40	62	4	0	4	no_chr21amp
41	74	8	0	8	no_chr21amp
42	75	11	0	11	no_chr21amp
43	76	1	0	1	no_chr21amp
44	79	7	0	7	no_chr21amp
45	80	6	0	6	no_chr21amp
46	81	5	0	5	no_chr21amp
47	82	5	0	5	no_chr21amp
48	83	8	0	8	no_chr21amp
49	3	6	1	6	chr21amp
50	4	6	1	6	chr21amp
51	14	7	1	7	chr21amp
52	16	4	1	4	chr21amp
53	17	3	1	3	chr21amp
54	20	7	1	7	chr21amp
55	31	4	1	4	chr21amp
56	37	11	1	11	chr21amp
57	46	14	1	14	chr21amp
58	54	14	1	14	chr21amp
59	55	10	1	10	chr21amp
60	63	4	1	4	chr21amp
61	70	7	1	7	chr21amp
62	71	15	1	15	chr21amp
63	72	4	1	4	chr21amp
64	73	4	1	4	chr21amp
