TF	Target	Importance
1	ERG	DYRK1A	257.256997375822
2	MSRB3	DYRK1A	237.454293000805
3	FOXN3	DYRK1A	100.295099723806
4	RUNX1	DYRK1A	98.7106137785485
5	CREB5	DYRK1A	87.8573917021208
6	ZNF208	DYRK1A	80.5110013005653
7	KDM5D	DYRK1A	71.8147620508241
8	TFDP2	DYRK1A	71.0522807729996
9	SFPQ	DYRK1A	69.7713049932399
10	HMGN3	DYRK1A	65.7480993324443
11	ETS2	DYRK1A	65.2069249618121
12	TCF12	DYRK1A	64.2507146206022
13	ZNF98	DYRK1A	57.5574557212728
14	NCOR1	DYRK1A	57.0670488979089
15	NFIA	DYRK1A	55.2934940979982
16	THOC2	DYRK1A	52.0585595900789
17	HNRNPC	DYRK1A	51.5244278729499
18	UBE2K	DYRK1A	47.7707980763493
19	NFIB	DYRK1A	46.1863310293947
20	RFX7	DYRK1A	43.9900421592077
21	RPS4X	DYRK1A	43.3121411236008
22	TRIM24	DYRK1A	35.5453826979637
23	NFATC3	DYRK1A	35.1605619653913
24	MCTP2	DYRK1A	32.5362130840087
25	MAPK1	DYRK1A	30.7157308024764
26	SMARCC1	DYRK1A	28.4004164724917
27	SMAD2	DYRK1A	25.8079996318724
28	FOXJ3	DYRK1A	25.1307068836461
29	ZMIZ1	DYRK1A	23.1108067618614
30	RLF	DYRK1A	21.8830882803229
31	ZNF560	DYRK1A	18.8128178108738
32	PDS5A	DYRK1A	17.8408813510944
33	FOXP1	DYRK1A	17.5010328613484
34	CNOT4	DYRK1A	14.0884416289989
35	CCNT2	DYRK1A	13.6393904099388
36	YBX1	DYRK1A	13.1453027492948
37	MEIS1	DYRK1A	12.8399178879516
38	ZNF654	DYRK1A	12.0229781028839
39	CHD2	DYRK1A	11.4238004006464
40	RAB7A	DYRK1A	10.554839200785
41	HMGB1	DYRK1A	10.3404262685792
42	ZNF148	DYRK1A	10.1486341195743
43	IKZF1	DYRK1A	9.76047082233646
44	RREB1	DYRK1A	8.78024309446569
45	ATF6	DYRK1A	8.69835310927239
46	KDM2A	DYRK1A	7.95305167506942
47	RPS6KA5	DYRK1A	7.44384638091868
48	YY1	DYRK1A	7.12660058132593
49	KLF9	DYRK1A	6.60295347114401
50	RUNX2	DYRK1A	6.18213989102199
51	IKZF2	DYRK1A	5.99310333040124
52	MEF2A	DYRK1A	5.89989457266236
53	YWHAE	DYRK1A	5.75495343144186
54	ZNF521	DYRK1A	5.71745837799957
55	FOXO3	DYRK1A	5.29318896362685
56	SMAD6	DYRK1A	5.05797726222908
57	ENO1	DYRK1A	5.04725917589845
58	HP1BP3	DYRK1A	5.00131841865946
59	MYB	DYRK1A	4.92134755710253
60	RCOR1	DYRK1A	4.23790502946505
61	EZH2	DYRK1A	4.04931581750028
62	ZNF676	DYRK1A	4.00487236680646
63	ANXA1	DYRK1A	3.94165027489342
64	RFX2	DYRK1A	3.90758718403189
65	ZNF91	DYRK1A	3.87501054092911
66	RPS10	DYRK1A	3.78805850369143
67	SREBF2	DYRK1A	3.78539607376787
68	ZNF131	DYRK1A	3.60075051145094
69	BBX	DYRK1A	3.4144560516441
70	RAB2A	DYRK1A	3.25387367687952
71	UQCRB	DYRK1A	3.15883618784949
72	EEF1D	DYRK1A	3.08355943991153
73	HNRNPLL	DYRK1A	3.05292845601688
74	NFAT5	DYRK1A	2.82015804761042
75	ZBTB20	DYRK1A	2.6248844715108
76	REST	DYRK1A	2.42591646358343
77	GATA2	DYRK1A	2.34647591330598
78	KDM5B	DYRK1A	2.32340599958206
79	MAFF	DYRK1A	2.21449033834498
80	ZEB1	DYRK1A	2.16639084123785
81	RBM17	DYRK1A	2.15256469715697
82	ID1	DYRK1A	2.07016609082545
83	TAF1	DYRK1A	2.06164037470758
84	PRDM16	DYRK1A	2.05907313894345
85	MECOM	DYRK1A	2.02880165723995
86	E2F8	DYRK1A	1.99306543164049
87	CBX3	DYRK1A	1.98123468783041
88	ZNF569	DYRK1A	1.94888542290387
89	IRF1	DYRK1A	1.87808512612911
90	ADARB1	DYRK1A	1.71454225915552
91	ZBTB43	DYRK1A	1.68200629116366
92	RPL6	DYRK1A	1.64842038365025
93	ZNF367	DYRK1A	1.64082515683624
94	HMGB2	DYRK1A	1.61753145998203
95	KLF6	DYRK1A	1.60525111752572
96	E2F2	DYRK1A	1.60179113724973
97	NFE2L3	DYRK1A	1.58017283513272
98	MYBL2	DYRK1A	1.57158765160492
99	DNMT1	DYRK1A	1.49731460837516
100	ZCCHC17	DYRK1A	1.44565890535312
101	ZNF595	DYRK1A	1.39409746461926
102	ZFY	DYRK1A	1.37117826291867
103	SOX18	DYRK1A	1.37072902837499
104	KLF12	DYRK1A	1.34761710222205
105	AFF4	DYRK1A	1.30396371898677
106	SSBP3	DYRK1A	1.30220108303453
107	ACO1	DYRK1A	1.27148642349151
108	TEAD3	DYRK1A	1.25431002812636
109	LUZP1	DYRK1A	1.24872086449409
110	ZNF90	DYRK1A	1.24412080569659
111	TBL1XR1	DYRK1A	1.17509945906131
112	ELF1	DYRK1A	1.17016487812992
113	ZFPM1	DYRK1A	1.16765648897831
114	ZEB2	DYRK1A	1.1586932606875
115	SMC3	DYRK1A	1.11240843819192
116	LRRFIP1	DYRK1A	1.10854655769968
117	CAT	DYRK1A	1.07412478449442
118	CHURC1	DYRK1A	1.04514145050435
119	KDM4B	DYRK1A	1.00666162472145
120	HNRNPA1	DYRK1A	0.986498772098532
121	SMAD3	DYRK1A	0.968326580490481
122	MAX	DYRK1A	0.955299489849429
123	MSI2	DYRK1A	0.905450899393583
124	BACH1	DYRK1A	0.893742612582731
125	MNX1	DYRK1A	0.877590808868336
126	MEF2C	DYRK1A	0.877039363260116
127	HIVEP1	DYRK1A	0.874924660887957
128	POU2F1	DYRK1A	0.87414659598089
129	ZNF714	DYRK1A	0.852461934188777
130	POLE3	DYRK1A	0.841103208156898
131	ARID3A	DYRK1A	0.824472405316846
132	ANXA11	DYRK1A	0.808552365616458
133	PIR	DYRK1A	0.807374531248488
134	SP3	DYRK1A	0.802750392196322
135	RBPJ	DYRK1A	0.797570007008883
136	GADD45A	DYRK1A	0.787989619296543
137	GABPB1	DYRK1A	0.787384353866307
138	NUP107	DYRK1A	0.742049867560837
139	ZNF793	DYRK1A	0.732319137439015
140	TCFL5	DYRK1A	0.727846529359798
141	JUND	DYRK1A	0.689456919313738
142	TCF7L2	DYRK1A	0.687021782069356
143	PURA	DYRK1A	0.685972223912361
144	XG	DYRK1A	0.682033607743763
145	UBTF	DYRK1A	0.660510079670705
146	RAB14	DYRK1A	0.65992483508338
147	RB1	DYRK1A	0.645721945193582
148	ZNF124	DYRK1A	0.619356340378888
149	ZNF276	DYRK1A	0.619292519770934
150	TRPS1	DYRK1A	0.616525382272098
151	R3HDM2	DYRK1A	0.61512490586639
152	MYBL1	DYRK1A	0.610432271106772
153	CTCF	DYRK1A	0.576562999762161
154	ZNF782	DYRK1A	0.576393388136938
155	MXD1	DYRK1A	0.560615055276416
156	PAXIP1	DYRK1A	0.550856481786586
157	ZNF257	DYRK1A	0.545129284128256
158	HOXB3	DYRK1A	0.544872206173789
159	AGAP2	DYRK1A	0.531682021682867
160	CTBP2	DYRK1A	0.53069350257294
161	STAT4	DYRK1A	0.529250167121087
162	LARP4	DYRK1A	0.528631255560551
163	ZNF333	DYRK1A	0.512695745019412
164	MXD4	DYRK1A	0.51009742471192
165	MSRA	DYRK1A	0.508336288830952
166	TFEC	DYRK1A	0.506838168143569
167	CRX	DYRK1A	0.506632234736964
168	CERS6	DYRK1A	0.50290813717001
169	HMBOX1	DYRK1A	0.496097886483945
170	DTL	DYRK1A	0.476274945909157
171	SUZ12	DYRK1A	0.443131776390725
