NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	181	0.31318092	1.8059444	0.0	0.017887814	0.024	8313	tags=49%, list=35%, signal=74%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	0.34917903	1.5118259	0.036144577	0.093932934	0.224	8592	tags=56%, list=36%, signal=87%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	74	0.2432556	1.1891289	0.17083333	0.58341426	0.918	5664	tags=32%, list=24%, signal=42%	
PID_IL2_STAT5_PATHWAY	PID_IL2_STAT5_PATHWAY	Details ...	27	0.30424052	1.1478608	0.281106	0.5466209	0.946	989	tags=19%, list=4%, signal=19%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	31	0.2781283	1.1178699	0.29613733	0.51120245	0.972	1654	tags=16%, list=7%, signal=17%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	218	0.17646907	1.0555232	0.34615386	0.5870992	0.99	4958	tags=24%, list=21%, signal=30%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	0.22726335	0.925939	0.57990867	0.86090666	1.0	4188	tags=25%, list=18%, signal=30%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY	Details ...	45	0.19475968	0.8299076	0.7184874	0.9934645	1.0	1654	tags=13%, list=7%, signal=14%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	34	0.20532022	0.8144119	0.74429226	0.910377	1.0	5670	tags=24%, list=24%, signal=31%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	25	0.22034013	0.80230486	0.73828125	0.8375828	1.0	2305	tags=16%, list=10%, signal=18%	
