NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	176	0.45979887	2.5962362	0.0	0.0	0.0	2679	tags=35%, list=11%, signal=39%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	46	0.5073299	2.176811	0.0	0.0	0.0	1714	tags=30%, list=7%, signal=33%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	183	0.3520253	2.0916638	0.0	0.0	0.0	3363	tags=30%, list=14%, signal=35%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	92	0.40603513	2.0741172	0.0	0.0	0.0	3023	tags=34%, list=13%, signal=38%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	51	0.42277142	1.9026197	0.0	0.0023333335	0.006	1971	tags=33%, list=8%, signal=36%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	159	0.3222258	1.794288	0.0	0.007972223	0.02	3786	tags=32%, list=16%, signal=38%	
DAUER_STAT3_TARGETS_UP	DAUER_STAT3_TARGETS_UP	Details ...	40	0.42021132	1.7495718	0.018072288	0.01156154	0.034	3273	tags=35%, list=14%, signal=41%	
PID_IL2_STAT5_PATHWAY	PID_IL2_STAT5_PATHWAY	Details ...	27	0.44540787	1.7284952	0.005586592	0.0148833925	0.052	1528	tags=33%, list=6%, signal=36%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	180	0.3036283	1.7256283	0.0	0.013229682	0.052	2802	tags=26%, list=12%, signal=29%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	206	0.2894665	1.7008317	0.0	0.012638532	0.056	3262	tags=26%, list=14%, signal=30%	
DAUER_STAT3_TARGETS_DN	DAUER_STAT3_TARGETS_DN	Details ...	45	0.38761055	1.6968149	0.0054054055	0.012737826	0.062	3608	tags=42%, list=15%, signal=50%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	0.36615536	1.4745862	0.07865169	0.05354489	0.252	2759	tags=27%, list=12%, signal=30%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	140	0.26507246	1.4186976	0.0078125	0.0713446	0.344	2188	tags=22%, list=9%, signal=24%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	172	0.24105006	1.4148467	0.0	0.067266345	0.344	2398	tags=18%, list=10%, signal=20%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	94	0.28097236	1.4106008	0.029411765	0.063269794	0.346	1867	tags=19%, list=8%, signal=21%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	72	0.28258485	1.384551	0.025806451	0.0681708	0.394	4459	tags=35%, list=19%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	152	0.23540434	1.3732679	0.0	0.06792133	0.414	3900	tags=31%, list=16%, signal=37%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	191	0.22228965	1.3038145	0.0	0.09497902	0.544	3232	tags=19%, list=14%, signal=22%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	96	0.23463586	1.2692535	0.060606062	0.109693214	0.602	2178	tags=20%, list=9%, signal=22%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	96	0.22745259	1.1632992	0.14814815	0.20290473	0.844	5527	tags=33%, list=23%, signal=43%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		28	0.2876375	1.0827284	0.37096775	0.30622202	0.948	4322	tags=32%, list=18%, signal=39%	
