NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	191	-0.32637924	-1.8718429	0.0	0.01959922	0.016	2669	tags=24%, list=11%, signal=27%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	57	-0.36069736	-1.6455405	0.003690037	0.057698335	0.09	7508	tags=49%, list=32%, signal=72%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	170	-0.2935494	-1.6158249	0.0	0.05306421	0.122	4423	tags=27%, list=19%, signal=33%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	188	-0.2827576	-1.6103913	0.0	0.042836636	0.132	2669	tags=20%, list=11%, signal=23%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	50	-0.35744572	-1.5633532	0.015686275	0.052656535	0.192	2331	tags=26%, list=10%, signal=29%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	143	-0.28002542	-1.5127212	0.010526316	0.06606587	0.27	1644	tags=17%, list=7%, signal=18%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	78	-0.26318973	-1.2601669	0.16205534	0.3154067	0.836	835	tags=13%, list=4%, signal=13%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	163	-0.2161769	-1.205531	0.10714286	0.38038075	0.922	4423	tags=24%, list=19%, signal=29%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	147	-0.20605652	-1.1232414	0.20996441	0.5331688	0.986	4781	tags=27%, list=20%, signal=33%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	121	-0.20057838	-1.081361	0.28275862	0.59270483	0.996	1516	tags=13%, list=6%, signal=14%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	95	-0.21488091	-1.075589	0.32142857	0.55203575	0.996	2738	tags=16%, list=12%, signal=18%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	106	-0.20390196	-1.0596101	0.37366548	0.55144876	0.996	4611	tags=27%, list=19%, signal=34%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	26	-0.2642381	-1.002991	0.44769874	0.6624101	1.0	5715	tags=27%, list=24%, signal=35%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	162	-0.17279907	-0.9686794	0.5305343	0.70098317	1.0	8597	tags=38%, list=36%, signal=60%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	44	-0.2219019	-0.9211551	0.61328125	0.7798975	1.0	5932	tags=32%, list=25%, signal=42%	
DAUER_STAT3_TARGETS_DN	DAUER_STAT3_TARGETS_DN	Details ...	46	-0.17634226	-0.758934	0.84476537	1.0	1.0	8687	tags=43%, list=37%, signal=68%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	94	-0.13129318	-0.66192794	0.98418975	1.0	1.0	7000	tags=29%, list=29%, signal=41%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	-0.17508435	-0.6238804	0.9351145	1.0	1.0	2720	tags=13%, list=11%, signal=15%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	91	-0.104258314	-0.5233435	1.0	0.99645317	1.0	387	tags=3%, list=2%, signal=3%	
