CD14_monos_HC_no_chr21amp	CD14_monos_MPNAML_chr21amp	CD14_monos_MPNAML_no_chr21amp	CD16_monos_HC_no_chr21amp	CD16_monos_MPNAML_chr21amp	CD16_monos_MPNAML_no_chr21amp	EoBaMa_HC_no_chr21amp	EoBaMa_MPNAML_chr21amp	EoBaMa_MPNAML_no_chr21amp	EryP_early_HC_no_chr21amp	EryP_early_MPNAML_no_chr21amp	EryP_late_HC_no_chr21amp	EryP_late_MPNAML_chr21amp	EryP_late_MPNAML_no_chr21amp	GMP_cycling_HC_no_chr21amp	GMP_cycling_MPNAML_no_chr21amp	GMP_early_HC_no_chr21amp	GMP_early_MPNAML_chr21amp	GMP_early_MPNAML_no_chr21amp	GMP_late_HC_no_chr21amp	GMP_late_MPNAML_chr21amp	GMP_late_MPNAML_no_chr21amp	HSC_HC_no_chr21amp	HSC_MPNAML_chr21amp	HSC_MPNAML_no_chr21amp	LMPP_HC_no_chr21amp	LMPP_MPNAML_no_chr21amp	MkEP_HC_no_chr21amp	MkEP_MPNAML_chr21amp	MkEP_MPNAML_no_chr21amp	MPP_HC_no_chr21amp	MPP_MPNAML_chr21amp	MPP_MPNAML_no_chr21amp
AHRR(+)	1.61114684031519	1.76299725713268	1.365621720783	1.95360748614425	1.82221635448383	1.80475925143252	-0.272302892053542	-0.147767099774885	0.175526816450648	-1.55363839553517	-1.02383925044229	-1.39532016506075	-1.14720226624512	-1.91508066779957	0.59775228258449	-0.16493519654386	-0.617550270221385	-0.488058880476022	-0.314715772504489	0.4287312853347	-0.259507861001735	-0.32710030015396	0.449084992434003	-0.334184844988627	-0.0631555912583229	0.151957596831293	0.221861923934255	-0.91896573928154	-0.480676682495692	-0.636763446048024	0.201988008449555	-0.358286004752891	-0.128200489672546
AKR1A1(+)	-0.285750950689978	0.36146083087152	-0.275110023449566	-0.147379875856261	0.800287869838466	0.591816965548113	-1.35316908830979	-0.280834095980413	-1.20427009520395	-1.41111352331321	-1.72936938977523	-2.22389161401445	0.236297397184156	-0.845129121419897	-0.105021916902712	-0.386893089522769	0.264324399765686	2.00766228026727	0.485750897572844	-0.0752860854091476	0.947800138524255	0.218702967019038	-0.035204726943194	1.79607595521278	0.861278932613271	-0.880832146009989	0.33536938261717	-0.841746003991282	0.616033050135215	-0.0273748319473654	-0.321078844865872	2.13126759515093	0.775326761284349
ARG1(+)	0.0154293861013485	-0.381728919073893	-0.289284356385661	-0.126489649011959	-0.493590808917256	-0.41887052043871	0.265085210685131	-0.165758080772328	0.109349168725704	-0.249001759681121	0.0548243680380823	3.49059349245204	2.7638029050064	2.85816542612573	-0.303050567918104	-0.354712622074502	-0.39351090324206	-0.566938246611301	-0.486723570020935	-0.35055952500975	-0.46501422787804	-0.478952101704799	-0.508494267356433	-0.505886800812388	-0.393702256419192	-0.158976165798574	-0.486071278264517	-0.200433603963572	-0.330220593664319	-0.256013588227878	-0.232261096905092	-0.542750915770661	-0.418253531211389
ARID3A(+)	1.69274664671167	1.95655769552167	1.72682490695475	1.65289075678176	1.63825196198387	1.07186197340481	-0.315092668165668	-0.507101537090273	-0.31347180004195	-1.54143657835292	-1.33962953347584	-1.03947691570213	-0.656810546065233	-1.13387775821149	0.922517018473919	0.677481311494366	-0.365149844927234	0.174438863683079	-0.161201556888279	1.08056791124243	0.721335517521788	0.233963435503123	-0.633700604521587	-0.501326417321295	-0.947046338967437	0.0411254328446325	-0.178080938744485	-1.13428862846115	-0.681732410209238	-1.16045531436375	-0.171664811057224	-0.236550321752721	-0.572468907801956
ARNT(+)	1.14671401114468	1.50274474568632	1.42321970742729	1.16201833345005	0.80655383861484	-0.101443281025993	0.539582458360796	0.19436025591496	0.816795690754482	-2.2376237238388	-1.06244005373951	-1.16174748960015	-1.7597901280109	-2.44961912728291	0.659258544202423	1.27463675057232	-0.503741200838515	0.391208041793009	-0.0692275496169881	0.646813397644418	1.03984490566605	0.167292800527744	-0.390821166175476	-0.369739844982477	-0.666940638879517	0.341575099153713	-0.363660989808406	-0.772189001260418	0.258738451418323	-0.878294888803059	0.562966586599845	0.109619438925258	-0.256663973993406
ARX(+)	-0.324308486883309	1.01314589026432	-0.490588750705579	0.681072030911419	0.712246864855101	-0.0154968825539249	0.856568016610815	2.28122755280896	2.60975425673917	-1.34629141347996	-0.877557325254235	-1.0043534438869	0.304360277658611	-0.741084113031735	0.0166804220534387	0.315587223275991	-1.37369716719654	-0.471237203080963	-0.812838630908227	-0.487997858257067	-0.531555444250246	-0.64046958960182	-1.21942214062132	-0.028506935398195	-0.371893159645227	-0.173123638922439	1.29206372008485	-0.687439742451678	1.88320614990331	0.603555071925589	-1.00150779280892	0.299305223254848	-0.269402981408145
ASCL2(+)	1.11093474390861	1.19457312309068	1.69279751055754	1.36467697662392	1.5265066157578	3.39110068897703	-0.893116461081456	-0.653092324605021	-0.639879937140139	-0.60653985763654	-0.731401890564476	-0.408974179058446	-0.117883541898032	-0.203077355409425	0.614646589822128	1.09561697092476	-0.6212166908473	-0.330176967892565	-0.444043292178592	0.541265360536719	0.142065713878734	0.474176190182362	-0.80861598942307	-0.73592260192009	-0.578978316153453	-0.717395153023978	-0.526770828869785	-0.822221513766641	-0.698149612401598	-0.659011908917746	-0.753548363578315	-0.66076241123688	-0.537581286656729
ATF1(+)	0.351850447413254	0.468199691276113	0.657974388474903	-0.111019710847712	0.571410044484323	0.219363209092018	-1.14462962439817	0.346500082039639	0.896524191145651	-1.33590350066281	-1.04503096176624	1.93998313960403	2.54040433534205	1.86710225698197	0.957655333302135	1.58123350652954	-1.16558655477702	-0.838354995669498	-0.387800142692467	0.597711251446381	-0.265871989493503	0.348605110784514	-0.779016709150869	-0.325419789450002	-0.637080016253233	-0.71707440906074	0.0334350169403059	-1.41936094529027	-0.778014357720045	-0.766981508932091	-0.597064337284271	-0.331789632696941	-0.73195281871095
ATF2(+)	-0.150440845012072	-0.0895460306284983	-0.132351676395181	-0.474338147987857	-0.74544912860194	-1.25779810846621	1.90197085476703	0.420302847907975	1.13111847253455	0.164325132688337	1.61633859736524	-0.118388754859832	-2.44598204177227	-2.5297827349566	-0.808714987746047	-1.27185482923401	0.59451999445732	-0.33119027834678	-0.177725601666834	-0.142941017208048	0.172830382075739	-0.670100240933161	0.65797156172172	-0.00686555642224151	-0.257520304171861	1.37932443986094	0.685126232649165	0.949342651617329	0.0931019838748723	0.107729706316347	1.52852528417129	-0.0728907975105055	0.281352939912079
ATF3(+)	1.23737078821071	1.33652088167334	0.978517503402012	1.23095322302009	1.62010038458396	1.52213601615385	0.516307109097127	0.215995762190939	0.325008245110201	-1.73175660349688	-1.32547812737551	-1.40047178573469	-2.0177489508507	-2.50477614875725	0.818798716887344	-0.218470423596405	-0.10146886129658	-0.406364279365958	-0.126884053539206	0.678265402897538	-0.227288771050921	-0.0538525758547011	0.82048832018369	0.0745539293518695	0.22024368049924	0.228908013882561	0.342893003228712	-0.740341771348225	-0.634413543082515	-0.660436633208768	0.171230951087581	-0.219974436339668	0.0314350334372028
