GMP_early_HC_no_chr21amp	GMP_early_MPNAML_chr21amp	GMP_early_MPNAML_no_chr21amp	GMP_late_HC_no_chr21amp	GMP_late_MPNAML_chr21amp	GMP_late_MPNAML_no_chr21amp	HSC_HC_no_chr21amp	HSC_MPNAML_chr21amp	HSC_MPNAML_no_chr21amp	MkEP_HC_no_chr21amp	MkEP_MPNAML_chr21amp	MkEP_MPNAML_no_chr21amp	MPP_HC_no_chr21amp	MPP_MPNAML_chr21amp	MPP_MPNAML_no_chr21amp	
-0.164935197	-0.61755027	-0.48805888	-0.314715773	0.428731285	-0.259507861	-0.3271003	0.449084992	-0.334184845	0.221861924	-0.918965739	-0.480676682	-0.636763446	0.201988008	-0.358286005	-0.12820049
-0.38689309	0.2643244	2.00766228	0.485750898	-0.075286085	0.947800139	0.218702967	-0.035204727	1.796075955	0.335369383	-0.841746004	0.61603305	-0.027374832	-0.321078845	2.131267595	0.775326761
-0.354712622	-0.393510903	-0.566938247	-0.48672357	-0.350559525	-0.465014228	-0.478952102	-0.508494267	-0.505886801	-0.486071278	-0.200433604	-0.330220594	-0.256013588	-0.232261097	-0.542750916	-0.418253531
0.677481311	-0.365149845	0.174438864	-0.161201557	1.080567911	0.721335518	0.233963436	-0.633700605	-0.501326417	-0.178080939	-1.134288628	-0.68173241	-1.160455314	-0.171664811	-0.236550322	-0.572468908
1.274636751	-0.503741201	0.391208042	-0.06922755	0.646813398	1.039844906	0.167292801	-0.390821166	-0.369739845	-0.36366099	-0.772189001	0.258738451	-0.878294889	0.562966587	0.109619439	-0.256663974
0.315587223	-1.373697167	-0.471237203	-0.812838631	-0.487997858	-0.531555444	-0.64046959	-1.219422141	-0.028506935	1.29206372	-0.687439742	1.88320615	0.603555072	-1.001507793	0.299305223	-0.269402981
1.095616971	-0.621216691	-0.330176968	-0.444043292	0.541265361	0.142065714	0.47417619	-0.808615989	-0.735922602	-0.526770829	-0.822221514	-0.698149612	-0.659011909	-0.753548364	-0.660762411	-0.537581287
1.581233507	-1.165586555	-0.838354996	-0.387800143	0.597711251	-0.265871989	0.348605111	-0.779016709	-0.325419789	0.033435017	-1.419360945	-0.778014358	-0.766981509	-0.597064337	-0.331789633	-0.731952819
-1.271854829	0.594519994	-0.331190278	-0.177725602	-0.142941017	0.172830382	-0.670100241	0.657971562	-0.006865556	0.685126233	0.949342652	0.093101984	0.107729706	1.528525284	-0.072890798	0.28135294
-0.218470424	-0.101468861	-0.406364279	-0.126884054	0.678265403	-0.227288771	-0.053852576	0.82048832	0.074553929	0.342893003	-0.740341771	-0.634413543	-0.660436633	0.171230951	-0.219974436	0.031435033
-0.577628539	0.554088435	-0.061849486	-0.06313194	1.19787345	0.242611473	0.487125974	0.176144171	-0.388941268	0.239421314	-0.012748201	-0.313955549	-0.165744055	-1.578728969	-0.667369611	-0.77646879
0.367120352	-0.080354207	0.010704487	-0.249309138	0.46577025	0.439102394	0.145590868	-0.739871507	-0.55677189	-0.20213643	-0.982008586	-0.594913136	-0.7602303	-0.690962594	-0.398589338	-0.514482685
-0.82038667	0.036030266	-0.994738476	-0.571571901	-0.372381401	-1.002133838	-0.401677103	-0.196480694	-0.066555664	0.133524113	-0.440871456	-0.164910911	-0.311299277	-0.168519949	-0.414453742	-0.387259655
0.227781944	-0.687952121	-0.386141901	-0.460381949	0.723835998	0.252784607	-0.026120088	-0.437919726	-0.511569591	-0.139789882	-1.005785594	-0.714333149	-0.9228204	-0.534249802	-0.509934802	-0.539233853
0.628918235	-0.729990631	-0.28422469	-0.494265872	0.508203567	0.104497686	-0.005265269	-0.198746355	-0.449342306	-0.133256807	-1.022909146	-0.810530746	-0.780619741	-0.564450292	-0.432216656	-0.409950405
-0.067272069	-0.668822249	-0.258110379	-0.039493935	0.268483784	-0.506230313	0.091985756	0.096602005	0.821680019	0.404758885	-1.156612808	-0.537524211	-0.411662568	-0.448805605	0.451247475	0.451131645
0.359547042	-0.250911142	1.06911644	0.561235162	-0.471673698	0.134915159	0.114877054	0.202701566	1.819013541	1.51745102	-0.998508781	0.705874007	-0.200091649	0.599025227	1.901078074	1.02577361
0.191673304	-0.543645991	-0.427697068	-0.467013421	0.644637876	0.03084218	-0.025930158	-0.134598097	-0.551148643	-0.192351019	-0.829013016	-0.708427132	-0.807184534	-0.296732026	-0.518153302	-0.430709166
1.760931087	-0.704964167	-0.706890671	-0.710515315	1.081981212	0.331396469	0.417266289	-0.644957255	-0.745504917	-0.723873533	-0.689757328	-0.74697699	-0.715162494	-0.689505442	-0.742485414	-0.688277968
-1.562934936	0.991625783	-0.392675819	0.384411974	0.333784367	-0.485961547	-0.173984826	0.883022043	-0.54001668	0.213433682	1.460006876	-0.355150177	0.622972562	0.16810994	-0.606484586	0.031183245
-1.259847965	0.235073677	-0.464277314	-0.01141176	-0.412824804	-0.473871789	-0.569652413	0.217901058	-0.457687303	0.1802941	1.232143682	-0.06859397	0.509596916	0.728864468	-0.407126838	-0.065999903
0.097534006	-0.468295783	-0.513832529	-0.369929121	0.675241527	-0.173736304	-0.042267925	-0.009102195	-0.502880223	0.097918664	-0.870276812	-0.767703382	-0.817882741	-0.215115177	-0.534967092	-0.387629017
2.757665721	0.467762701	0.418260524	1.539176497	-0.5067571	-0.137366548	0.95521464	-0.396650274	0.207450394	-0.039391395	0.072635179	-0.025015857	0.527204026	0.10410583	0.371968361	0.720520314
-0.48221346	0.09102239	-0.111260197	0.413353575	-0.29376496	-0.29914663	-0.173770169	0.999890004	0.815130521	1.585435997	-0.455073493	-0.067423526	-0.182262054	1.395757305	0.489464318	0.77760659
0.817734202	0.398451349	1.237762961	0.833584079	1.035783531	1.365922596	0.897828161	-0.487081584	0.275445755	-0.026664375	-1.090865869	-0.358567759	-0.775217887	-0.239704325	0.547174405	0.057879841
0.419446901	-0.374971938	-0.352706442	-0.385135575	0.929945096	0.205612483	0.185027366	-0.3686107	-0.702499298	-0.351660649	-0.809648625	-0.801653512	-0.846661428	-0.552401974	-0.644461169	-0.633537204
0.614963765	-0.075929742	-0.037407978	-0.047931361	1.128212854	0.47622475	0.458365975	-0.462745406	-0.622202127	-0.333331731	-0.895703152	-0.855902433	-0.904507397	-0.585290927	-0.524117077	-0.574401175
0.80085645	1.765015551	1.87603133	1.48274657	1.123518196	2.430054924	1.455694717	-0.925835941	-0.371280884	-0.656036703	-0.72124189	-0.308836013	-0.601261131	-0.644070555	-0.009600543	-0.438585643
0.426792518	0.063346495	-1.110580881	0.148886822	0.309612199	-0.905271925	-0.308792945	0.983656947	-0.359218237	-0.033888395	-0.213571445	-0.542350221	-0.336173597	0.37271291	-0.947232142	-0.185446887
-0.639388598	0.031934734	1.387973853	0.713916485	0.709036844	1.286578331	0.636266615	-0.627552466	1.162560878	0.951129002	-0.092844398	1.239236512	0.473608438	-0.872244526	1.574592262	0.639079529
0.255249219	-0.800157147	-0.884177833	-0.501350518	-0.602614502	-0.569020965	-0.288735718	-0.380108569	-0.673176691	0.508983654	-0.651865588	0.08602346	-0.156806968	-0.333408212	-0.615364877	-0.173519754
-0.465248053	-0.04493157	-1.173571239	-0.389755819	1.095743886	-0.815992913	-0.357979156	0.524957164	-1.095513823	0.143783951	-0.167651143	-1.150088432	-0.590645534	0.667158403	-1.093981088	-0.072968526
-1.166750202	0.294827062	-0.623187236	-0.518227471	0.589622676	0.327213966	-0.759212083	0.842218476	-0.643185919	0.089711826	0.730123328	-0.483951079	-0.464868186	1.186737789	-0.597587352	-0.362492948
0.670969674	-0.122780021	-1.055359709	-0.957335154	0.551396093	-1.302879368	-0.462702038	1.166253832	0.722722159	1.466958135	-1.009020535	-0.982968246	-0.609306702	0.102137153	-0.427201114	-1.222199925
0.416012179	1.123349337	0.637801656	-0.053801591	1.181730996	1.815980162	0.730703925	0.082201549	-1.63465648	1.22426211	-0.46886279	-0.078273165	0.560393452	0.041147015	-1.257259023	-0.70382223
0.030506133	-0.027032627	0.257953978	1.01868684	-0.346580559	0.035226912	0.260551296	0.42754036	0.143787716	-0.020017876	0.26352057	1.241845693	1.266893722	0.266052057	0.264580073	1.302104206
0.156191569	0.625902734	0.778126204	-0.282604687	1.048015432	0.942161131	0.458594803	-0.758451349	-0.539409752	-0.486186319	-0.593068889	-0.240214937	-0.588690172	-1.103929406	-0.241275939	-0.939191922
-1.072637334	-0.240308066	-0.871579112	-1.177936964	-0.109369652	-1.472388787	-0.60453446	0.937733959	0.314041064	0.441890096	-0.223088199	-1.133302578	-0.871737285	1.034774037	-0.174264393	0.127049952
-0.25919113	0.744483413	0.257701322	0.467048322	0.223839809	0.324915494	-0.15474068	0.517012911	-0.031487298	0.159730576	-0.079939475	0.160416235	-0.260454435	0.979001682	0.055392779	0.267704592
0.031958953	-0.271641988	0.532675322	-0.161690057	0.477265898	0.636490013	-0.133147889	0.48797406	1.126961227	-0.125021895	-0.678380781	1.00808416	-0.35189921	-0.064581529	0.919362744	0.000475857
-0.107818515	-0.846449771	-0.515581064	-0.450130656	-0.22945963	-0.977638608	-0.331333445	1.539498083	0.720972391	1.229509125	-1.589570661	-0.899318022	-0.413053363	-0.225740705	0.080267961	0.206903115
-1.132535364	0.728587942	1.767355315	0.249467103	1.06869193	1.172485611	0.341003653	-0.411904254	0.514672867	-0.494688241	0.547114082	1.138365318	0.448851603	-1.384805043	0.916531034	-0.222284348
1.979424453	0.003596579	-0.75950709	0.528673331	-0.350499201	-0.66436677	0.409426896	-0.653447754	-0.875712682	0.915604382	0.179846845	-0.738493165	0.050951388	0.494357626	-0.749203018	0.335387747
0.063226494	-0.090336281	-0.417715719	0.031142152	0.605147009	-0.051169838	-0.173277652	0.173901315	-0.330905065	0.358112067	-0.247779267	-0.097651582	-0.417197218	1.108160679	-0.255149366	0.061570114
-0.713083924	0.154587973	0.202868727	-0.174506778	-0.285850625	0.307212042	-0.108308222	0.47830131	1.76146092	2.349499937	-1.505597381	-0.403926931	-0.410013801	-0.284807728	0.651380181	0.180559671
2.190636264	-0.480547394	-0.669353597	-0.537221812	0.810643371	-0.492265401	0.340895832	-0.761619573	-0.434627427	-0.645574135	-0.882120327	-0.962095865	-0.737966158	-0.355347885	-0.575711043	-0.125130877
0.040823283	-0.10036495	-0.155179554	0.065921415	0.849605043	0.105513029	0.038705404	0.360402993	-0.10870726	-0.076581762	-0.723117801	-0.472045756	-0.716316184	-0.100614942	-0.179938456	-0.225639151
0.466024893	0.062739823	-0.434966946	-0.991784456	-0.413781614	-0.370451078	-0.239311464	0.635998744	-0.011763104	-0.69426294	-0.147425122	1.910773583	-0.014613657	-0.255192669	-0.21357343	-0.978159369
-0.531155278	-0.782184777	-0.565070357	0.006498518	-0.750425995	-0.765748332	-0.205002423	-0.597421011	-0.244904867	-0.35852129	-0.574808273	0.594906748	1.986256614	-0.628334329	-0.451256069	0.376645923
2.238457251	0.604220359	0.232357669	0.81288893	0.142817486	-0.179697689	0.763206194	-0.713483788	-0.544227083	-0.344910655	0.533270838	-0.284836082	0.456976118	-0.402253407	-0.289744126	-0.00420791
0.747961017	-0.395258093	-0.642259404	-0.473066362	-0.237821407	-0.471031774	-0.258907281	-0.438100493	-0.660824153	-0.385420019	-0.142197209	-0.56156941	-0.318770701	-0.306690827	-0.689190092	-0.540618088
-0.06009662	-0.058181373	-0.028096872	0.020001394	0.73374002	0.50114577	-0.084610883	-0.161473592	-0.625020944	-0.281832376	-0.253478399	0.030779206	-0.449956632	0.604938596	-0.361467445	-0.14414966
