Regulon	CellType	RelativeActivity
1	AHRR(+)	CD14_monos_HC_no_chr21amp	1.61114684031519
3	ARG1(+)	CD14_monos_HC_no_chr21amp	0.0154293861013485
4	ARID3A(+)	CD14_monos_HC_no_chr21amp	1.69274664671167
5	ARNT(+)	CD14_monos_HC_no_chr21amp	1.14671401114468
7	ASCL2(+)	CD14_monos_HC_no_chr21amp	1.11093474390861
8	ATF1(+)	CD14_monos_HC_no_chr21amp	0.351850447413254
10	ATF3(+)	CD14_monos_HC_no_chr21amp	1.23737078821071
11	ATF4(+)	CD14_monos_HC_no_chr21amp	0.906302207242999
12	ATF5(+)	CD14_monos_HC_no_chr21amp	0.922314260035862
14	BACH1(+)	CD14_monos_HC_no_chr21amp	1.7498465438224
15	BATF(+)	CD14_monos_HC_no_chr21amp	1.68207653997246
16	BATF3(+)	CD14_monos_HC_no_chr21amp	0.698353289281345
18	BCL3(+)	CD14_monos_HC_no_chr21amp	1.78832193129338
19	BCL6(+)	CD14_monos_HC_no_chr21amp	2.02461919454906
22	BHLHE40(+)	CD14_monos_HC_no_chr21amp	1.73615149967295
25	CEBPA(+)	CD14_monos_HC_no_chr21amp	0.748407096284322
26	CEBPB(+)	CD14_monos_HC_no_chr21amp	1.73169603597914
27	CEBPD(+)	CD14_monos_HC_no_chr21amp	1.61297432191867
29	CEBPG(+)	CD14_monos_HC_no_chr21amp	0.96465408697868
31	CERS5(+)	CD14_monos_HC_no_chr21amp	0.497223475636642
32	CHD1(+)	CD14_monos_HC_no_chr21amp	1.8572782037482
33	CHD2(+)	CD14_monos_HC_no_chr21amp	0.899466633432532
34	CIC(+)	CD14_monos_HC_no_chr21amp	1.02809692521872
35	CLOCK(+)	CD14_monos_HC_no_chr21amp	0.0461595583350051
37	CREB3(+)	CD14_monos_HC_no_chr21amp	0.64874631135735
38	CREB3L1(+)	CD14_monos_HC_no_chr21amp	0.773057955183806
39	CREB3L2(+)	CD14_monos_HC_no_chr21amp	0.1540037492217
40	CREB5(+)	CD14_monos_HC_no_chr21amp	0.663441781805868
41	CREM(+)	CD14_monos_HC_no_chr21amp	0.730667630106233
42	CSNK2B(+)	CD14_monos_HC_no_chr21amp	0.0140593012855795
44	CUX1(+)	CD14_monos_HC_no_chr21amp	1.37225361352312
46	DBP(+)	CD14_monos_HC_no_chr21amp	2.2161951358931
47	DDIT3(+)	CD14_monos_HC_no_chr21amp	1.37034284115808
52	E2F3(+)	CD14_monos_HC_no_chr21amp	1.61448110997033
54	E2F6(+)	CD14_monos_HC_no_chr21amp	0.044546971128986
57	EGR1(+)	CD14_monos_HC_no_chr21amp	1.29382321768123
58	EGR2(+)	CD14_monos_HC_no_chr21amp	0.608529340588163
59	EGR3(+)	CD14_monos_HC_no_chr21amp	0.735239810556633
60	EGR4(+)	CD14_monos_HC_no_chr21amp	1.28864689253846
61	ELF1(+)	CD14_monos_HC_no_chr21amp	0.862828163310542
62	ELF2(+)	CD14_monos_HC_no_chr21amp	1.41110869397332
63	ELF3(+)	CD14_monos_HC_no_chr21amp	2.02142719704562
64	ELF4(+)	CD14_monos_HC_no_chr21amp	1.73402247982755
65	ELK3(+)	CD14_monos_HC_no_chr21amp	0.469114981694621
67	EOMES(+)	CD14_monos_HC_no_chr21amp	1.18697080773133
