peak.id	chr	start	end	peak.score	n.samples	blacklist.encode	beyond.chr.end	reproducible	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	refMean	non.refMean	refExp	non.refExp	sig.peaks.direction	padj.log	DYRK1Apeak
chr9:13279437:13279938	chr9	13279437	13279938	22.1876149852346	13	FALSE	FALSE	TRUE	*	Promoter	9	13105703	13279563	173861	2	8777	uc003zlb.4	0	ENSG00000107186	MPDZ	multiple PDZ domain crumbs cell polarity complex component	99.2226050071089	-2.987444540673	0.393309802858367	-7.59565238130818	3.0624561748015e-14	1.39760699958181e-09	3.99100701050069	1.52084021213966	4	4	Down	8.8546149329592	NA
chr9:13278890:13279391	chr9	13278890	13279391	13.2600364839721	10	FALSE	FALSE	TRUE	*	Intron	9	13105703	13279563	173861	2	8777	uc003zlb.4	172	ENSG00000107186	MPDZ	multiple PDZ domain crumbs cell polarity complex component	64.6764141541736	-3.41640276773648	0.511967514948684	-6.67308504540355	2.50481136295864e-11	4.39659904650272e-07	3.41085725885063	0.948208112202055	4	3	Down	6.35688313861755	NA
chr4:95791252:95791753	chr4	95791252	95791753	23.9965824161566	10	FALSE	FALSE	TRUE	*	Intron	4	95679128	96079601	400474	1	658	uc003htm.4	112124	ENSG00000138696	BMPR1B	bone morphogenetic protein receptor type 1B	64.2710117038641	-3.23392976791665	0.556763719666161	-5.80844199017805	6.30568698532421e-09	2.82128799815533e-05	3.35988528989999	0.981826960428317	4	1	Down	4.5495525786353	NA
chr4:95905944:95906445	chr4	95905944	95906445	5.34219449321882	4	FALSE	FALSE	TRUE	*	Intron	4	95917383	96079601	162219	1	658	uc031sgm.1	-10938	ENSG00000138696	BMPR1B	bone morphogenetic protein receptor type 1B	20.0082816100823	-3.653954019385	0.664570448466484	-5.49821922990497	3.83645785915229e-08	0.000118003164806823	1.99676599701222	0.320010826228578	4	0	Down	3.92810634489974	NA
chr4:95683423:95683924	chr4	95683423	95683924	6.47382844990284	4	FALSE	FALSE	TRUE	*	Intron	4	95679128	96079601	400474	1	658	uc003htm.4	4295	ENSG00000138696	BMPR1B	bone morphogenetic protein receptor type 1B	23.9740679218169	-3.59631701668239	0.664571979762679	-5.41147855491386	6.25064810269807e-08	0.000162688667609827	2.19735093252482	0.399418311334364	4	0	Down	3.788642697622	NA
chr17:31255056:31255557	chr17	31255056	31255557	9.82324060836438	13	FALSE	FALSE	TRUE	*	5' UTR	17	31254928	31268667	13740	1	26022	uc002hhr.3	128	ENSG00000006042	TMEM98	transmembrane protein 98	60.666280341101	-2.45997387731625	0.554021691908135	-4.44021220332317	8.98702165288048e-06	0.00435391623957724	3.2360147445861	1.25306397537028	4	2	Down	2.36111993015007	NA
chr3:48701337:48701838	chr3	48701337	48701838	31.05463019989	14	FALSE	FALSE	TRUE	*	Promoter	3	48673896	48700348	26453	2	1951	uc003cul.3	-989	ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	184.931419497168	-1.34234297244499	0.303980390373361	-4.41588673136538	1.00596753139957e-05	0.00469418599560082	4.50619343132139	3.26819771920375	4	5	Down	2.3284397065434	NA
chr21:38801589:38802090	chr21	38801589	38802090	6.82887793027503	8	FALSE	FALSE	TRUE	*	Intron	21	38792601	38887679	95079	1	1859	uc002ywm.3	8988	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	29.43297290323	2.58250079867522	0.585837234138517	4.40822236652956	1.04222510483049e-05	0.00479473978469033	0.685210204498931	2.10488812399825	0	5	Up	2.3192349574484	DYRK1A sig peak
chr6:12945139:12945640	chr6	12945139	12945640	13.7365734946491	14	FALSE	FALSE	TRUE	*	Intron	6	12718542	12935069	216528	1	221692	uc003nai.3	226597	ENSG00000112137	PHACTR1	phosphatase and actin regulator 1	73.6285842724928	1.95898954043582	0.445238805875325	4.39986253351056	1.08319473976271e-05	0.00492365953183297	1.6172997755127	3.23981037498691	4	5	Up	2.30771198591099	NA
chr21:38730529:38731030	chr21	38730529	38731030	156.675991598151	14	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38739859	38845182	105324	1	1859	uc002ywg.1	-8829	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	631.773638148807	2.07553788445589	0.504606015659915	4.11318498005129	3.90237439342782e-05	0.0110616074358998	4.06686779983813	6.08244524727379	4	5	Up	1.95618175821975	DYRK1A sig peak
chr21:38739799:38740300	chr21	38739799	38740300	10.986346730733	14	FALSE	FALSE	TRUE	*	Promoter	21	38739859	38845182	105324	1	1859	uc002ywg.1	0	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	67.2324507532015	2.36109340091182	0.590068819344834	4.00138648833096	6.29724028662579e-05	0.0147984498204266	1.35680133150336	2.94267495623224	4	5	Up	1.82978377580065	DYRK1A sig peak
chr4:95679089:95679590	chr4	95679089	95679590	9.82324060836438	14	FALSE	FALSE	TRUE	*	Promoter	4	95679128	96079601	400474	1	658	uc003htm.4	0	ENSG00000138696	BMPR1B	bone morphogenetic protein receptor type 1B	78.0255894846406	-1.38338451839217	0.347396563238532	-3.98214796800479	6.82952373347485e-05	0.0157412933696891	3.33744678389917	2.20260623716674	4	5	Down	1.80295958708226	NA
chr7:100143293:100143794	chr7	100143293	100143794	16.6202281389172	14	FALSE	FALSE	TRUE	*	Intron	7	100136834	100165843	29010	1	3268	uc003uvf.3	6459	ENSG00000106351	AGFG2	ArfGAP with FG repeats 2	85.4552795119322	-1.45173702130548	0.373247947529977	-3.8894708756272	0.000100463023884133	0.01984766635669	3.47658992683634	2.24135232944491	4	5	Down	1.7022905492531	NA
chr21:38952807:38953308	chr21	38952807	38953308	5.29036828805266	11	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38861087	38887679	26593	1	1859	uc011aei.2	91720	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	26.6965764465203	2.18430654467952	0.56704057052073	3.85211686471324	0.000117101109606692	0.0217417409231029	0.748386261703711	2.01546458179569	0	5	Up	1.6627056836616	DYRK1A sig peak
chr21:38827630:38828131	chr21	38827630	38828131	15.7188634239388	14	FALSE	FALSE	TRUE	*	Intron	21	38861087	38887679	26593	1	1859	uc011aei.2	-32956	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	61.2538489859884	1.92621659847294	0.500650637109979	3.84742663984627	0.000119365002497042	0.0220543997812024	1.48215750781607	2.93276480468754	3	5	Up	1.65650475721266	DYRK1A sig peak
chr1:65865082:65865583	chr1	65865082	65865583	6.69889561438183	10	FALSE	FALSE	TRUE	*	Intron	1	65886131	66096095	209965	1	3953	uc001dcg.3	-20548	ENSG00000116678	LEPR	leptin receptor	36.5091755799751	2.51349648488154	0.669178303685338	3.75609381093061	0.000172586022348076	0.0267494037646924	0.763856097483181	2.34196789633906	2	5	Up	1.57268589381434	NA
chr21:38737907:38738408	chr21	38737907	38738408	29.7541515278234	13	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38739859	38845182	105324	1	1859	uc002ywg.1	-1451	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	213.34779324053	1.53608416040777	0.411731635415168	3.73078973846365	0.000190880482016532	0.0284865087694312	3.17987815049934	4.51524887549769	4	5	Up	1.54536077347303	DYRK1A sig peak
chr4:95735327:95735828	chr4	95735327	95735828	16.2846550544465	11	FALSE	FALSE	TRUE	*	Intron	4	95679128	96079601	400474	1	658	uc003htm.4	56199	ENSG00000138696	BMPR1B	bone morphogenetic protein receptor type 1B	52.7673231856819	-2.89974118253753	0.778668590303712	-3.7239734832588	0.000196111533365657	0.0288963119914136	3.09950151994221	0.846531878617	4	1	Down	1.53915758229482	NA
chr21:38747023:38747524	chr21	38747023	38747524	12.5166875183874	12	FALSE	FALSE	TRUE	*	Intron	21	38739859	38887679	147821	1	1859	uc002ywi.3	7164	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	47.1358610644885	1.67897321988133	0.456268919113316	3.67978871570771	0.000233427275649713	0.032155961824142	1.37491859037958	2.63302535778691	4	5	Up	1.49273849560788	DYRK1A sig peak
chr4:57589483:57589984	chr4	57589483	57589984	33.8097476501798	13	FALSE	FALSE	TRUE	*	Distal Intergenic	4	57514154	57547872	33719	2	84525	uc003hce.2	-41611	ENSG00000171476	HOPX	HOP homeobox	110.862496747172	2.34917867206674	0.64723371308044	3.62956784325413	0.000283896111425181	0.0363119676510334	1.80729432660897	3.41299726330442	4	5	Up	1.43995021716166	NA
chr11:27494177:27494678	chr11	27494177	27494678	39.9094888362289	14	FALSE	FALSE	TRUE	*	Promoter	11	27387508	27494334	106827	2	55366	uc001mrj.4	0	ENSG00000205213	LGR4	leucine rich repeat containing G protein-coupled receptor 4	157.824699630103	-1.2341586511787	0.340128540643931	-3.62850659001502	0.000285065474766961	0.0364003247309593	4.24034142959513	3.1132166597132	4	5	Down	1.43889474194889	NA
chr11:59571472:59571973	chr11	59571472	59571973	8.46098978422694	13	FALSE	FALSE	TRUE	*	3' UTR	11	59573608	59578345	4738	2	54948	uc001noh.2	6372	ENSG00000166902	MRPL16	mitochondrial ribosomal protein L16	57.974870677581	1.78735299510188	0.506011009109657	3.53224132069139	0.000412053143588766	0.0448402276172347	1.43942563084953	2.91363775158432	3	5	Up	1.34833219151288	NA
chr1:65990783:65991284	chr1	65990783	65991284	9.69473513555148	14	FALSE	FALSE	TRUE	*	Promoter	1	65991372	66091917	100546	1	3953	uc021ool.1	-88	ENSG00000116678	LEPR	leptin receptor	52.9836599240032	-1.62034515361016	0.464034809601075	-3.49186121403941	0.000479667410309841	0.0492585186112245	2.87699444462536	1.63415441551884	4	4	Down	1.30751865316774	NA
chr21:38822893:38823394	chr21	38822893	38823394	13.6867927890279	11	FALSE	FALSE	TRUE	*	Intron	21	38792601	38887679	95079	1	1859	uc002ywm.3	30292	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	37.3905867725428	2.57140103381362	0.739936084228011	3.4751664212949	0.000510536514903996	0.050849526022197	0.813829530443492	2.09985467111847	1	5	n.s.	1.29371309086127	DYRK1A log2FC >1
chr21:38954779:38955280	chr21	38954779	38955280	29.7541515278234	14	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38861087	38887679	26593	1	1859	uc011aei.2	93692	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	71.055513707223	1.83127490446139	0.53568639428068	3.41855780548698	0.000629539440840924	0.056903119649155	1.70922778820561	2.98827443929718	4	5	n.s.	1.24486392324862	DYRK1A log2FC >1
chr21:38832419:38832920	chr21	38832419	38832920	5.86378658565126	5	FALSE	FALSE	TRUE	*	Intron	21	38861087	38887679	26593	1	1859	uc011aei.2	-28167	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	16.1514721939284	2.90692413217541	0.862873164279576	3.36888925570242	0.000754717458471104	0.0627157681650875	0.341396048068011	1.45262346723262	0	4	n.s.	1.20262325396768	DYRK1A log2FC >1
chr21:38740430:38740931	chr21	38740430	38740931	5.39202298396613	8	FALSE	FALSE	TRUE	*	Intron	21	38739859	38887679	147821	1	1859	uc002ywi.3	571	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	39.6001009641165	1.86265927032828	0.552926778664212	3.36872682279594	0.000755162334282799	0.0627161770280431	1.16167393487834	2.34402020698878	2	5	n.s.	1.20262042268056	DYRK1A log2FC >1
chr15:84116738:84117239	chr15	84116738	84117239	7.57239635702668	9	FALSE	FALSE	TRUE	*	Intron	15	84116091	84287493	171403	1	6457	uc002bjx.3	647	ENSG00000140600	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3	43.898563837503	-2.00020970501053	0.594914174942742	-3.36218195709162	0.000773291492830559	0.0633127900968957	2.53641241217833	1.28952058092565	4	3	n.s.	1.1985085473696	NA
chr21:38736885:38737386	chr21	38736885	38737386	19.3501130102949	14	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38739859	38845182	105324	1	1859	uc002ywg.1	-2473	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	84.9956875801404	1.36527785136499	0.413674032818217	3.30037116921222	0.000965570338496074	0.0711882720902708	2.15916639736753	3.29585439852358	4	5	n.s.	1.14759154830148	DYRK1A log2FC >1
chr4:187025596:187026097	chr4	187025596	187026097	11.7230210734545	13	FALSE	FALSE	TRUE	*	Distal Intergenic	4	187003379	187006252	2874	1	7098	uc003iyr.3	22217	ENSG00000164342	TLR3	toll like receptor 3	56.3089821056946	-1.72776545475922	0.524642803586606	-3.29322244191234	0.000990460800864776	0.0721341968672113	2.97349156765616	1.57279720435635	4	4	n.s.	1.14185879922201	NA
chr21:39014751:39015252	chr21	39014751	39015252	6.58503303528637	7	FALSE	FALSE	TRUE	*	Intron	21	38861087	38887679	26593	1	1859	uc011aei.2	153664	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	20.39077024269	2.15026057626199	0.655959853789789	3.27803685521138	0.00104531746529868	0.0744874361072369	0.604581635426383	1.70115371118095	0	4	n.s.	1.12791697408988	DYRK1A log2FC >1
chr7:90224190:90224691	chr7	90224190	90224691	7.27936506969097	14	FALSE	FALSE	TRUE	*	Intron	7	90225720	90839904	614185	1	5218	uc003uky.2	-1029	ENSG00000058091	CDK14	cyclin dependent kinase 14	30.8152564786454	-1.66737041918578	0.513401613594175	-3.24769220632753	0.00116345053415357	0.0793346388638977	2.14775045467116	1.17493450670589	4	5	n.s.	1.10053715085574	NA
chr19:6577356:6577857	chr19	6577356	6577857	9.34995516861934	14	FALSE	FALSE	TRUE	*	Distal Intergenic	19	6583135	6591163	8029	2	970	uc010xjf.1	13306	ENSG00000125726	CD70	CD70 molecule	38.2050864469674	-2.17034066933271	0.671386238751981	-3.23262608624074	0.00122657993702196	0.0817965296200352	2.52682659979939	1.0125916877821	4	2	n.s.	1.08726512174238	NA
chr21:38929606:38930107	chr21	38929606	38930107	25.3358124885823	10	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38861087	38887679	26593	1	1859	uc011aei.2	68519	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	52.477491798638	2.49672975636415	0.77519531484134	3.22077508540562	0.00127844435612708	0.0837936685703923	0.987559529164259	2.4176787335857	2	5	n.s.	1.07678879531748	DYRK1A log2FC >1
chr3:111578368:111578869	chr3	111578368	111578869	33.7873968699181	14	FALSE	FALSE	TRUE	*	Promoter	3	111578568	111604642	26075	1	90102	uc003dye.4	0	ENSG00000144824	PHLDB2	pleckstrin homology like domain family B member 2	152.770757264656	-1.37414578560991	0.432110227617109	-3.1800816036864	0.00147233584249533	0.0898622161828784	4.23301399192007	2.90841587277428	4	5	n.s.	1.04642287503604	NA
chr21:38742961:38743462	chr21	38742961	38743462	16.6345976955602	14	FALSE	FALSE	TRUE	*	Intron	21	38739859	38887679	147821	1	1859	uc002ywi.3	3102	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	87.7317180062505	1.47895869482888	0.465087138344496	3.1799604265414	0.00147295165995433	0.0898622161828784	2.05571867657984	3.36141863978382	4	5	n.s.	1.04642287503604	DYRK1A log2FC >1
chr21:38738636:38739137	chr21	38738636	38739137	163.627071129931	14	FALSE	FALSE	TRUE	*	Promoter	21	38739859	38845182	105324	1	1859	uc002ywg.1	-722	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	654.709612309024	1.33600324101209	0.42250423053687	3.16210618604802	0.00156632437066681	0.0931389832161462	4.80953894608665	6.02666468703655	4	5	n.s.	1.030868507503	DYRK1A log2FC >1
chr21:38861803:38862304	chr21	38861803	38862304	12.1308116019756	10	FALSE	FALSE	TRUE	*	Intron	21	38861087	38887679	26593	1	1859	uc011aei.2	716	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	32.4127448803875	1.85765083663921	0.591497888943407	3.14058743296199	0.00168609370338038	0.096887334578733	1.0023134938926	2.09013710222447	2	5	n.s.	1.01373299159809	DYRK1A log2FC >1
chr6:12941670:12942171	chr6	12941670	12942171	8.6674818479258	14	FALSE	FALSE	TRUE	*	Intron	6	12718542	12935069	216528	1	221692	uc003nai.3	223128	ENSG00000112137	PHACTR1	phosphatase and actin regulator 1	65.3117055094861	-1.18411742535551	0.383948587855017	-3.08405203928669	0.00204201873373903	0.107653734429075	3.0375924882956	2.09085398181618	4	5	n.s.	0.967970900222196	NA
chr3:186822653:186823154	chr3	186822653	186823154	8.24219057526298	3	FALSE	FALSE	TRUE	*	Distal Intergenic	3	186838741	186857263	18523	2	116832	uc003fre.1	34109	ENSG00000163923	RPL39L	ribosomal protein L39 like	18.6458794365359	-3.04564497770242	0.992415525843677	-3.06892113070605	0.00214833299068015	0.110334282049372	1.47307938602836	0.419600826551079	2	0	n.s.	0.957289526620357	NA
chr3:120356704:120357205	chr3	120356704	120357205	9.67907645787459	11	FALSE	FALSE	TRUE	*	Intron	3	120347015	120370898	23884	2	3081	uc003edv.3	13693	ENSG00000113924	HGD	homogentisate 1,2-dioxygenase	39.9478143001338	-2.04133561437728	0.666121049722195	-3.06451149566376	0.00218025795206258	0.111297534794955	2.30578466972195	1.18325240612634	4	3	n.s.	0.953514455043591	NA
chr21:38935517:38936018	chr21	38935517	38936018	6.27666915016623	5	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38861087	38887679	26593	1	1859	uc011aei.2	74430	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	189.42328699889	1.42167428675983	0.465896122489667	3.05148340613495	0.00227713634796118	0.114073782749325	3.1132320092872	4.24434091549853	4	5	n.s.	0.942814156770263	DYRK1A log2FC >1
chr21:38920931:38921432	chr21	38920931	38921432	5.95713961768069	11	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38861087	38887679	26593	1	1859	uc011aei.2	59844	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	43.9290847686227	1.43760126817616	0.472866414233787	3.04018476445529	0.00236433054912548	0.116828270924819	1.42602372989046	2.48893053641226	4	5	n.s.	0.932452050879609	DYRK1A log2FC >1
chr21:38920129:38920630	chr21	38920129	38920630	11.3655908142817	4	FALSE	FALSE	TRUE	*	Distal Intergenic	21	38861087	38887679	26593	1	1859	uc011aei.2	59042	ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	112.763250005261	1.16077658444146	0.38462059607103	3.01797822659267	0.00254467187069745	0.121171411966449	2.61930332020634	3.62797626281793	4	5	n.s.	0.916599831405021	DYRK1A log2FC >1
